Africa,AGO,Angola,2020/06/30,9,0,1,0	
Africa,AGO,Angola,2020/07/01,8,2,1,1	
Africa,AGO,Angola,2020/07/02,7,2,1,1	
Africa,AGO,Angola,2020/07/03,24,2,1,1	
Africa,AGO,Angola,2020/07/04,13,1,1,1	
Africa,AGO,Angola,2020/07/05,18,1,1,1	
Africa,AGO,Angola,2020/07/06,0,0,0,0	
Africa,AGO,Angola,2020/07/07,7,0,1,0	
Africa,AGO,Angola,2020/07/08,0,0,0,0	
Africa,AGO,Angola,2020/07/09,33,2,1,1	
Africa,AGO,Angola,2020/07/10,10,1,1,1	
Africa,AGO,Angola,2020/07/11,62,1,1,1	
Africa,AGO,Angola,2020/07/12,25,2,1,1	
Africa,AGO,Angola,2020/07/13,23,1,1,1	
Africa,AGO,Angola,2020/07/14,0,0,0,0	
Africa,AGO,Angola,2020/07/15,19,0,1,0	
Africa,AGO,Angola,2020/07/16,51,1,1,1	
Africa,AGO,Angola,2020/07/17,31,1,1,1	
Africa,AGO,Angola,2020/07/18,31,1,1,1	
Africa,AGO,Angola,2020/07/19,49,0,1,0	
Africa,AGO,Angola,2020/07/20,18,0,1,0	
Africa,AGO,Angola,2020/07/21,44,0,1,0	
Africa,AGO,Angola,2020/07/22,0,0,0,0	
Africa,AGO,Angola,2020/07/23,30,1,1,1	
Africa,AGO,Angola,2020/07/24,33,3,1,1	
Africa,AGO,Angola,2020/07/25,39,0,1,0	
Africa,AGO,Angola,2020/07/26,29,2,1,1	
Africa,AGO,Angola,2020/07/27,50,5,1,1	
Africa,AGO,Angola,2020/07/28,2,0,1,0	
Africa,AGO,Angola,2020/07/29,18,1,1,1	
Africa,AGO,Angola,2020/07/30,50,6,1,1	
Africa,AGO,Angola,2020/07/31,78,1,1,1	
Africa,AGO,Angola,2020/08/01,31,3,1,1	
Africa,AGO,Angola,2020/08/02,5,1,1,1	
Africa,AGO,Angola,2020/08/03,34,0,1,0	
Africa,AGO,Angola,2020/08/04,16,2,1,1	
Africa,AGO,Angola,2020/08/05,0,0,0,0	
Africa,AGO,Angola,2020/08/06,180,5,1,1	
Africa,AGO,Angola,2020/08/07,51,3,1,1	
Africa,AGO,Angola,2020/08/08,88,2,1,1	
Africa,AGO,Angola,2020/08/09,0,0,0,0	
Africa,AGO,Angola,2020/08/10,89,6,1,1	
Africa,AGO,Angola,2020/08/11,100,5,1,1	
Africa,AGO,Angola,2020/08/12,7,3,1,1	
Africa,AGO,Angola,2020/08/13,56,2,1,1	
Africa,AGO,Angola,2020/08/14,27,0,1,0	
Africa,AGO,Angola,2020/08/15,53,3,1,1	
Africa,AGO,Angola,2020/08/16,37,3,1,1	
Africa,AGO,Angola,2020/08/17,27,0,1,0	
Africa,AGO,Angola,2020/08/18,27,2,1,1	
Africa,AGO,Angola,2020/08/19,60,2,1,1	
Africa,AGO,Angola,2020/08/20,0,0,0,0	
Africa,AGO,Angola,2020/08/21,49,2,1,1	
Africa,AGO,Angola,2020/08/22,29,1,1,1	
Africa,AGO,Angola,2020/08/23,24,1,1,1	
