NLD,Netherlands,1.7466838E7	
NOR,Norway,5391723.0	
NPL,Nepal,2.9698028E7	
NRU,Nauru,12414.0	
NZL,New Zealand,5095771.0	
OMN,Oman,4497661.0	
PAK,Pakistan,2.29280621E8	
PAN,Panama,4323252.0	
PER,Peru,3.3519231E7	
PHL,Philippines,1.13094332E8	
PLW,Palau,17997.0	
PNG,Papua New Guinea,9850462.0	
POL,Poland,3.8378767E7	
PRI,Puerto Rico,3262911.0	
PRK,Dem. People's Republic of Korea,2.5921701E7	
PRT,Portugal,1.0297984E7	
PRY,Paraguay,6664351.0	
PSE,State of Palestine,5076818.0	
PYF,French Polynesia,303097.0	
QAT,Qatar,2692140.0	
REU,Réunion,962127.0	
ROU,Romania,1.9394347E7	
RUS,Russian Federation,1.45472994E8	
RWA,Rwanda,1.3305392E7	
SAU,Saudi Arabia,3.5764241E7	
SDN,Sudan,4.5052904E7	
SEN,Senegal,1.6656773000000002E7	
SGP,Singapore,5926220.0	
SHN,Saint Helena,5405.0	
SLB,Solomon Islands,699484.0	
SLE,Sierra Leone,8327732.0	
SLV,El Salvador,6304540.0	
SMR,San Marino,33822.0	
SOM,Somalia,1.680117E7	
SPM,Saint Pierre and Miquelon,5893.0	
SRB,Serbia,7331946.0	
SSD,South Sudan,1.0667013E7	
STP,Sao Tome and Principe,221060.0	
SUR,Suriname,610325.0	
SVK,Slovakia,5455809.0	
SVN,Slovenia,2119030.0	
SWE,Sweden,1.0416525E7	
SWZ,Eswatini,1187088.0	
SXM,Sint Maarten (Dutch part),43916.0	
SYC,Seychelles,106054.0	
SYR,Syrian Arab Republic,2.1059148E7	
TCA,Turks and Caicos Islands,44699.0	
TCD,Chad,1.6910218E7	
TGO,Togo,8542924.0	
THA,Thailand,7.1561955E7	
TJK,Tajikistan,9643597.0	
TKL,Tokelau,1837.0	
TKM,Turkmenistan,6296510.0	
TLS,Timor-Leste,1310236.0	
TON,Tonga,105635.0	
TTO,Trinidad and Tobago,1522394.0	
TUN,Tunisia,1.2217195E7	
TUR,Türkiye,8.4459174E7	
TUV,Tuvalu,11140.0	
TWN,"China, Taiwan Province of China",2.3842033E7	
TZA,United Republic of Tanzania,6.263707E7	
UGA,Uganda,4.5123359E7	
UKR,Ukraine,4.372864E7	
URY,Uruguay,3429902.0	
USA,United States of America,3.36495769E8	
UZB,Uzbekistan,3.380985E7	
VAT,Holy See,515.0	
VCT,Saint Vincent and the Grenadines,104553.0	
VEN,Venezuela (Bolivarian Republic of),2.8352075E7	
VGB,British Virgin Islands,31060.0	
VIR,United States Virgin Islands,100342.0	
VNM,Viet Nam,9.7093774E7	
VUT,Vanuatu,315398.0	
WLF,Wallis and Futuna Islands,11642.0	
WSM,Samoa,216800.0	
XKX,Kosovo (under UNSC res. 1244),1666259.0	
YEM,Yemen,3.2640962E7	
ZAF,South Africa,5.913771E7	
ZMB,Zambia,1.9200512E7	
ZWE,Zimbabwe,1.5834106E7	
